feature,value
pct_usda_total_to_EST,0.0
pct_usda_total_to_BTN,0.0
pct_usda_total_to_GRD,0.0
pct_usda_total_to_LIE,0.0
pct_usda_total_to_YEM,0.0
pct_usda_total_to_MDV,0.0
pct_usda_total_to_TCD,0.0
pct_usda_total_to_IMN,0.0
pct_usda_total_to_CUW,0.0
pct_usda_total_to_SYR,0.0
pct_usda_total_to_MMR,0.0
pct_usda_total_to_SPM,0.0
pct_usda_total_to_AND,0.0
pct_usda_total_to_LSO,0.0
pct_usda_total_to_MAC,0.0
pct_usda_total_to_CUB,0.0
pct_usda_total_to_CAF,0.0
pct_usda_total_to_ERI,0.0
pct_usda_total_to_SUR,0.0
pct_usda_total_to_LBY,0.0
pct_usda_total_to_CPV,0.0
pct_usda_total_to_XWB,0.0
pct_usda_total_to_GNQ,0.0
pct_usda_total_to_TKL,0.0
pct_usda_total_to_XAC,0.0
pct_usda_total_to_COM,0.0
pct_usda_total_to_FLK,0.0
pct_doc_total_to_USA,0.9926891267505662
pct_doc_total_to_AGO,0.0
pct_doc_total_to_DNK,0.0
pct_doc_total_to_CHE,0.003362230518019723
pct_doc_total_to_ETH,0.0
pct_doc_total_to_TUR,0.0
pct_doc_total_to_RUS,0.0
pct_doc_total_to_UKR,0.0
pct_doc_total_to_FIN,0.0
pct_doc_total_to_FJI,0.0
pct_doc_total_to_FRA,0.0
pct_doc_total_to_ITA,0.0
pct_doc_total_to_THA,0.0
pct_doc_total_to_BEL,0.0
pct_doc_total_to_MYS,0.0
pct_doc_total_to_MLI,0.0
pct_doc_total_to_CAN,0.002491991278911557
pct_doc_total_to_CRI,0.0
pct_doc_total_to_GTM,0.0
pct_doc_total_to_VUT,0.0
pct_doc_total_to_NLD,0.0
pct_doc_total_to_PRY,0.0
pct_doc_total_to_HRV,0.0
pct_doc_total_to_MOZ,0.0
pct_doc_total_to_AUT,0.0
pct_doc_total_to_HTI,0.0
pct_doc_total_to_BRA,0.0
pct_doc_total_to_IDN,0.0
pct_doc_total_to_PHL,0.0
pct_doc_total_to_ISR,0.0
pct_doc_total_to_PER,0.0
pct_doc_total_to_HND,0.0
pct_doc_total_to_KGZ,0.0
pct_doc_total_to_ARE,0.0
pct_doc_total_to_DZA,0.0
pct_doc_total_to_MDG,0.0
pct_doc_total_to_EGY,0.0
pct_doc_total_to_GBR,0.0009312056591830854
pct_doc_total_to_IRQ,0.0
pct_doc_total_to_KWT,0.0
pct_doc_total_to_JOR,0.0
pct_doc_total_to_BIH,0.0
pct_doc_total_to_SAU,0.0
pct_doc_total_to_HUN,0.0
pct_doc_total_to_ZAF,0.0
pct_doc_total_to_KEN,0.0
pct_doc_total_to_BHR,0.0
pct_doc_total_to_GIB,0.0
pct_doc_total_to_SEN,0.0
pct_doc_total_to_TZA,0.0
pct_doc_total_to_JPN,0.0
pct_doc_total_to_AFG,0.0
pct_doc_total_to_COL,0.0
pct_doc_total_to_GUY,0.0
pct_doc_total_to_ECU,0.0
pct_doc_total_to_KOR,0.0
pct_doc_total_to_SLV,0.0
